hour,a - Residents Workers: 73 ppl (daily),b - Residents: 373 ppl (daily),c - Workers: 685 ppl (daily),d - Commuters: 202 ppl (daily),e - Visitors: 819 ppl (daily),f - Passers-by: 463 ppl (daily)
0,47,99,17,0,26,6
1,42,90,5,1,17,4
2,41,89,6,0,18,2
3,38,89,9,2,18,0
4,38,90,11,3,15,1
5,40,100,15,4,24,1
6,44,155,49,7,50,12
7,49,133,107,53,67,25
8,48,121,159,59,108,42
9,48,102,143,9,119,43
10,46,82,139,4,92,23
11,48,70,119,3,109,18
12,49,66,104,3,87,17
13,48,74,109,0,84,19
14,47,76,121,3,102,32
15,46,80,154,6,111,28
16,51,77,154,8,121,34
17,50,83,145,35,97,39
18,52,102,122,37,115,55
19,48,109,108,15,89,40
20,48,105,106,18,86,42
21,48,123,65,4,59,18
22,48,111,33,4,46,17
23,42,87,19,3,28,9
